ZIP,Metro,MonthlyMedianIncome,MedianRent,TotalHouseholds,HH_RentLT10Pct,HH_Rent10to14Pct,HH_Rent15to19Pct,HH_Rent20to24Pct,HH_Rent25to29Pct,HH_Rent30to34Pct,HH_Rent35to39Pct,HH_Rent40to49Pct,HH_Rent50PlusPct,rent_to_income
98001,"Seattle-Tacoma-Bellevue, WA",8934.833333333334,2245.1031651978074,2868,93,173,371,204,638,273,302,87,515,0.2512753267396676
98002,"Seattle-Tacoma-Bellevue, WA",6476.166666666667,1582.8856199721993,7205,106,427,918,757,633,839,752,559,1958,0.24441706049960613
98003,"Seattle-Tacoma-Bellevue, WA",5900.0,1758.423937903563,10183,211,350,623,914,1661,1210,917,1234,2771,0.29803795557687507
98004,"Seattle-Tacoma-Bellevue, WA",14697.25,2444.4106552238027,12295,1125,2232,2233,1548,1219,675,402,632,1869,0.1663175529588054
98005,"Seattle-Tacoma-Bellevue, WA",13199.666666666666,2423.8894030576,4404,288,612,807,474,348,257,161,214,1115,0.1836326222675522
98006,"Seattle-Tacoma-Bellevue, WA",16445.333333333332,3029.973397842779,2872,55,380,387,406,276,136,157,185,764,0.18424517985909553
98007,"Seattle-Tacoma-Bellevue, WA",10567.833333333334,2137.634176305817,7541,715,1185,1022,918,871,470,662,233,1305,0.2022774308488795
98008,"Seattle-Tacoma-Bellevue, WA",14603.5,3365.191563868578,2538,81,348,579,292,273,132,71,157,403,0.23043733104177616
98010,"Seattle-Tacoma-Bellevue, WA",12391.0,2607.2000000000003,301,108,34,15,31,57,11,17,12,12,0.21041078201920752
98011,"Seattle-Tacoma-Bellevue, WA",10620.416666666666,2045.7282897677514,4945,45,272,710,730,604,498,351,316,1256,0.19262222509484891
98012,"Seattle-Tacoma-Bellevue, WA",11804.416666666666,2059.975560757314,9118,187,706,927,1653,1097,917,690,855,1911,0.1745088824739876
98014,"Seattle-Tacoma-Bellevue, WA",13140.0,,264,0,15,52,19,31,7,18,0,73,
98019,"Seattle-Tacoma-Bellevue, WA",13000.25,,407,0,24,60,0,45,21,0,37,110,
98020,"Seattle-Tacoma-Bellevue, WA",10186.916666666666,2181.0605652018385,2169,0,143,126,230,440,481,104,121,442,0.21410409416017329
98021,"Seattle-Tacoma-Bellevue, WA",14379.916666666666,2973.941563414181,2506,66,231,487,359,302,196,104,156,548,0.20681215561616706
98022,"Seattle-Tacoma-Bellevue, WA",9717.75,2281.725928501235,1665,151,204,135,267,96,157,157,86,388,0.2347998177048427
98023,"Seattle-Tacoma-Bellevue, WA",8496.666666666666,1556.490484624324,5977,204,304,492,723,891,759,451,438,1460,0.18318836617783335
98024,"Seattle-Tacoma-Bellevue, WA",12727.166666666666,,234,46,16,17,9,21,13,0,0,65,
98025,"Seattle-Tacoma-Bellevue, WA",,,0,0,0,0,0,0,0,0,0,0,
98026,"Seattle-Tacoma-Bellevue, WA",10371.833333333334,1815.710578324234,4253,97,209,671,548,906,323,212,387,888,0.17506168099412517
98027,"Seattle-Tacoma-Bellevue, WA",12500.0,2215.0871446153037,3491,126,276,472,577,302,427,107,405,660,0.1772069715692243
98028,"Seattle-Tacoma-Bellevue, WA",11493.833333333334,2544.206394013031,2731,218,148,352,302,332,304,108,391,488,0.2213540357014368
98029,"Seattle-Tacoma-Bellevue, WA",13671.5,2543.9710984259623,4528,284,325,887,663,504,299,162,235,1040,0.18607841849292048
98030,"Seattle-Tacoma-Bellevue, WA",7601.5,1805.3867160645382,6086,150,184,765,957,825,790,278,915,1121,0.23750400790166917
98031,"Seattle-Tacoma-Bellevue, WA",8454.833333333334,1849.8919203030089,4578,191,186,403,723,609,259,463,400,1137,0.21879697060494102
98032,"Seattle-Tacoma-Bellevue, WA",6451.083333333333,1874.7044226560856,8615,155,572,745,906,1140,1075,590,748,2547,0.2906030391778258
98033,"Seattle-Tacoma-Bellevue, WA",14500.416666666666,2286.3876101589667,6215,557,730,974,663,674,520,394,408,1176,0.15767737318989455
98034,"Seattle-Tacoma-Bellevue, WA",10747.833333333334,1986.9585049355944,8384,359,749,1199,1386,892,827,568,483,1626,0.18487061003944308
98036,"Seattle-Tacoma-Bellevue, WA",7463.833333333333,1942.8791626835605,6517,183,323,572,659,817,778,631,549,1653,0.2603058074738486
98037,"Seattle-Tacoma-Bellevue, WA",8696.416666666666,1916.7344851571424,4485,88,340,576,740,360,334,315,399,1244,0.220405088512373
98038,"Seattle-Tacoma-Bellevue, WA",12061.083333333334,2771.594125499535,1790,8,114,166,274,240,131,52,92,587,0.2297964493653446
98039,"Seattle-Tacoma-Bellevue, WA",20807.333333333332,,216,10,25,3,23,6,15,0,11,100,
98040,"Seattle-Tacoma-Bellevue, WA",16863.25,2495.178629556228,3364,81,370,312,669,266,271,302,155,807,0.14796546511237324
98042,"Seattle-Tacoma-Bellevue, WA",10462.833333333334,2386.59009282171,2966,65,334,530,277,154,140,159,332,867,0.22810170216688055
98043,"Seattle-Tacoma-Bellevue, WA",8450.666666666666,1909.9045728323003,3999,123,160,622,613,422,537,347,351,721,0.22600637892461745
98045,"Seattle-Tacoma-Bellevue, WA",13491.416666666666,3193.3518550316862,865,23,158,108,19,110,73,0,90,284,0.23669507316615032
98047,"Seattle-Tacoma-Bellevue, WA",8560.25,1814.5067622248507,989,0,96,81,115,96,173,160,57,191,0.2119688983645163
98050,"Seattle-Tacoma-Bellevue, WA",,,0,0,0,0,0,0,0,0,0,0,
98051,"Seattle-Tacoma-Bellevue, WA",9572.333333333334,,194,0,25,69,0,0,29,0,15,35,
98052,"Seattle-Tacoma-Bellevue, WA",13737.333333333334,2086.649359795907,17600,1064,2482,3317,2876,1578,1197,597,1088,2848,0.15189624573880717
98053,"Seattle-Tacoma-Bellevue, WA",14992.666666666666,3087.501211808622,1123,0,180,90,78,68,99,25,94,366,0.20593409301049104
98055,"Seattle-Tacoma-Bellevue, WA",8350.583333333334,1675.6838530492996,4263,96,234,501,505,576,396,387,730,794,0.2006666823334856
98056,"Seattle-Tacoma-Bellevue, WA",9049.666666666666,1826.9101477986835,6622,160,359,781,888,722,971,339,688,1538,0.20187596019728354
98057,"Seattle-Tacoma-Bellevue, WA",5674.75,2110.160999064404,4714,49,324,476,493,437,338,512,479,1481,0.3718509183777971
98058,"Seattle-Tacoma-Bellevue, WA",9253.75,1958.2747193963405,4186,81,314,519,452,578,359,283,431,854,0.21161958334689618
98059,"Seattle-Tacoma-Bellevue, WA",11194.666666666666,2528.017070009392,3281,140,104,370,574,502,229,195,253,776,0.22582334474833776
98065,"Seattle-Tacoma-Bellevue, WA",15177.666666666666,3008.7843791647565,815,11,115,78,125,122,171,114,52,0,0.19823761090844597
98068,"Seattle-Tacoma-Bellevue, WA",,,34,0,0,6,19,0,9,0,0,0,
98070,"Seattle-Tacoma-Bellevue, WA",9645.833333333334,3276.5726212833333,833,89,15,101,121,72,113,39,0,198,0.3396878743447084
98072,"Seattle-Tacoma-Bellevue, WA",14549.916666666666,2393.0059370362424,2539,132,222,346,207,151,319,164,404,502,0.16446870396986757
98074,"Seattle-Tacoma-Bellevue, WA",19501.083333333332,3196.9870390697142,1593,28,193,170,342,256,119,85,107,275,0.16393894556642824
98075,"Seattle-Tacoma-Bellevue, WA",,3415.9298395438987,920,54,86,147,200,159,39,41,36,130,
98077,"Seattle-Tacoma-Bellevue, WA",14968.75,,412,11,109,44,7,25,31,0,23,155,
98087,"Seattle-Tacoma-Bellevue, WA",8878.416666666666,1958.9854703194546,7427,129,319,1058,758,997,1097,533,368,1991,0.22064581376027498
98092,"Seattle-Tacoma-Bellevue, WA",9717.833333333334,2026.4027154418293,4350,139,193,378,1057,484,375,60,392,1067,0.20852412733721465
98101,"Seattle-Tacoma-Bellevue, WA",10678.583333333334,2468.996263792931,9470,684,1116,1258,1365,973,878,932,456,1575,0.23121009470291137
98102,"Seattle-Tacoma-Bellevue, WA",9532.916666666666,1842.2105850116368,12555,667,1846,1632,1751,1290,1107,883,1127,1925,0.19324731867773629
98103,"Seattle-Tacoma-Bellevue, WA",10614.333333333334,1958.1602425887409,14314,583,1568,2244,2153,1436,1658,883,1109,2377,0.18448264069862205
98104,"Seattle-Tacoma-Bellevue, WA",5155.5,1982.554785020204,8312,271,735,972,1174,1099,853,423,855,1726,0.3845514082087487
98105,"Seattle-Tacoma-Bellevue, WA",6557.583333333333,1854.8989897515223,12113,487,773,1025,1139,906,611,1078,1048,4154,0.28286319753235145
98106,"Seattle-Tacoma-Bellevue, WA",9627.416666666666,1936.0462485782045,4806,128,270,501,665,549,537,345,400,1209,0.20109717025974824
98107,"Seattle-Tacoma-Bellevue, WA",11479.0,1946.2398876388904,9355,369,1326,1444,966,1551,553,650,722,1498,0.16954786023511548
98108,"Seattle-Tacoma-Bellevue, WA",7567.166666666667,2474.938342788021,3676,87,165,437,567,358,465,358,268,724,0.3270627504069803
98109,"Seattle-Tacoma-Bellevue, WA",10903.75,2193.0771110120763,16173,1091,2847,2260,2303,1968,1098,1000,912,2310,0.20113053866899702
98112,"Seattle-Tacoma-Bellevue, WA",13506.083333333334,2140.0886587718196,4276,243,405,779,553,495,340,274,205,785,0.1584536838662938
98115,"Seattle-Tacoma-Bellevue, WA",12349.166666666666,1890.854439598951,9520,364,916,1396,1331,1356,644,755,667,1777,0.15311595435041106
98116,"Seattle-Tacoma-Bellevue, WA",10875.333333333334,1937.2596986604956,6204,437,468,751,1044,826,409,564,316,1226,0.17813336283888576
