"GEO_ID","NAME","B25070_001E","B25070_001M","B25070_002E","B25070_002M","B25070_003E","B25070_003M","B25070_004E","B25070_004M","B25070_005E","B25070_005M","B25070_006E","B25070_006M","B25070_007E","B25070_007M","B25070_008E","B25070_008M","B25070_009E","B25070_009M","B25070_010E","B25070_010M","B25070_011E","B25070_011M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Less than 10.0 percent","Margin of Error!!Total:!!Less than 10.0 percent","Estimate!!Total:!!10.0 to 14.9 percent","Margin of Error!!Total:!!10.0 to 14.9 percent","Estimate!!Total:!!15.0 to 19.9 percent","Margin of Error!!Total:!!15.0 to 19.9 percent","Estimate!!Total:!!20.0 to 24.9 percent","Margin of Error!!Total:!!20.0 to 24.9 percent","Estimate!!Total:!!25.0 to 29.9 percent","Margin of Error!!Total:!!25.0 to 29.9 percent","Estimate!!Total:!!30.0 to 34.9 percent","Margin of Error!!Total:!!30.0 to 34.9 percent","Estimate!!Total:!!35.0 to 39.9 percent","Margin of Error!!Total:!!35.0 to 39.9 percent","Estimate!!Total:!!40.0 to 49.9 percent","Margin of Error!!Total:!!40.0 to 49.9 percent","Estimate!!Total:!!50.0 percent or more","Margin of Error!!Total:!!50.0 percent or more","Estimate!!Total:!!Not computed","Margin of Error!!Total:!!Not computed",
"860Z200US83856","ZCTA5 83856","404","122","43","32","50","45","53","43","49","42","0","18","18","17","4","7","81","53","8","9","98","79",
"860Z200US98001","ZCTA5 98001","2868","524","93","54","173","115","371","200","204","123","638","349","273","164","302","188","87","71","515","182","212","129",
"860Z200US98002","ZCTA5 98002","7205","621","106","69","427","178","918","412","757","248","633","221","839","231","752","272","559","176","1958","356","256","122",
"860Z200US98003","ZCTA5 98003","10183","737","211","115","350","161","623","200","914","288","1661","468","1210","288","917","257","1234","455","2771","476","292","103",
"860Z200US98004","ZCTA5 98004","12295","684","1125","295","2232","389","2233","501","1548","285","1219","257","675","201","402","169","632","215","1869","454","360","177",
"860Z200US98005","ZCTA5 98005","4404","406","288","128","612","184","807","200","474","159","348","170","257","107","161","95","214","92","1115","296","128","117",
"860Z200US98006","ZCTA5 98006","2872","364","55","45","380","193","387","133","406","128","276","145","136","103","157","94","185","123","764","216","126","62",
"860Z200US98007","ZCTA5 98007","7541","579","715","220","1185","348","1022","274","918","222","871","446","470","157","662","221","233","113","1305","254","160","95",
"860Z200US98008","ZCTA5 98008","2538","302","81","61","348","125","579","203","292","111","273","124","132","93","71","52","157","93","403","128","202","113",
"860Z200US98010","ZCTA5 98010","301","150","108","114","34","39","15","25","31","37","57","63","11","18","17","28","12","21","12","19","4","7",
"860Z200US98011","ZCTA5 98011","4945","513","45","45","272","127","710","189","730","266","604","189","498","205","351","155","316","117","1256","283","163","81",
"860Z200US98012","ZCTA5 98012","9118","780","187","100","706","210","927","238","1653","403","1097","286","917","221","690","224","855","359","1911","439","175","86",
"860Z200US98014","ZCTA5 98014","264","95","0","19","15","25","52","33","19","22","31","20","7","12","18","20","0","19","73","74","49","36",
"860Z200US98019","ZCTA5 98019","407","193","0","21","24","28","60","81","0","21","45","71","21","33","0","21","37","47","110","96","110","115",
"860Z200US98020","ZCTA5 98020","2169","315","0","21","143","112","126","81","230","139","440","144","481","205","104","65","121","71","442","172","82","72",
"860Z200US98021","ZCTA5 98021","2506","306","66","56","231","107","487","154","359","133","302","125","196","105","104","79","156","93","548","181","57","44",
"860Z200US98022","ZCTA5 98022","1665","353","151","99","204","123","135","105","267","144","96","72","157","87","157","103","86","64","388","149","24","32",
"860Z200US98023","ZCTA5 98023","5977","591","204","161","304","171","492","210","723","259","891","269","759","290","451","159","438","188","1460","325","255","127",
"860Z200US98024","ZCTA5 98024","234","92","46","56","16","23","17","25","9","14","21","24","13","21","0","13","0","13","65","51","47","45",
"860Z200US98025","ZCTA5 98025","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13","0","13",
"860Z200US98026","ZCTA5 98026","4253","408","97","76","209","90","671","209","548","189","906","282","323","140","212","107","387","115","888","300","12","22",
"860Z200US98027","ZCTA5 98027","3491","411","126","104","276","140","472","142","577","182","302","142","427","163","107","70","405","163","660","217","139","74",
"860Z200US98028","ZCTA5 98028","2731","312","218","147","148","77","352","145","302","122","332","159","304","107","108","61","391","228","488","171","88","53",
